,title,date_time,email_message
0,Available cellphone number?,"Thu, 01/11/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates a member of university leadership. Do not reply to the sender. The scammer's goal is typically to coerce the recipient into purchasing gift cards.</div>

<p>Best Best regards</p>

<p><br>
[Spoofed Name]<br>
Vice President for University Relations of<br>
Cornell University<br>
Ithaca, NY</p>

<p>&nbsp;</p>
"
1,"[Name]: Password Expiry Thursday, January 11, 2023","Thu, 01/11/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell address. The sender may appear as ""Cornell IT &lt;[user]@icloud.com&gt;"". Do not contact the sender nor click the link. The link directs to a fake login page. If you entered your credentials into the page, change your password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.</div>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure><!-- THEME DEBUG --><!-- THEME HOOK: 'entity_embed_container' --><!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' --><div data-entity-type=""media"" data-entity-uuid=""1bb3d2d6-6341-4a27-8f27-a64ba953df3b"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-microsoft-2024.1.11.png"" width=""683"" height=""402"" alt=""A fake Microsoft-branded notification from &quot;Cornell Support-Desk&quot;""><!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' --><!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' --><!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' --><!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' --></div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->

<figcaption>Cornell Support-Desk
Hello user@cornell.edu,
Your details for (user@cornell.edu) is set expire on:
Friday, January 12, 2024.
Keep Current Details
Cornell Team
This message (including any attachments) is confidential and may be privileged. If you are not the intended recipient please notify the sender by return e-mail and delete this message from your system. Any unauthorised use or dissemination of this message in whole or in part is strictly prohibited.
This message (including any attachments) is confidential and may be privileged. If you are not the intended reciplent please notify the sender by return e-mail and delete this message from your system. Any unauthorised use or dissemination of this message in whole or in part is strictly prohibited.</figcaption><!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' --></figure><p>&nbsp;</p>
"
2,DEPOSIT ACCOUNT CHANGE,"Thu, 01/11/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell email address. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates an employee. Do not reply to the sender. The scammer's goal is to coerce an HR employee to make fraudulent direct deposit change.</div>

<p>Hello,</p>

<p>I kindly request your assistance in updating my paycheck information, please guide me through the process or provide me with the appropriate forms or documents that need to be completed.</p>

<p>Thanks</p>

<p>&nbsp;</p>
"
3,Signature Required: Cornell 2024 Employee Review,"Thu, 01/11/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""Cornell HR. &lt;[user]@orientcargo.com&gt;"". Do not scan the QR code nor contact the sender. The QR code directs to a fake login page. If you entered your credentials into the page, change your NetID password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.</div>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure><!-- THEME DEBUG --><!-- THEME HOOK: 'entity_embed_container' --><!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' --><div data-entity-type=""media"" data-entity-uuid=""b7f939bb-fe7d-45bb-b326-00b326f45976"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-docusign-2024.1.11.jpg"" width=""2582"" height=""4325"" alt=""A fake DocuSign-branded notification with a QR code instead of a URL.""><!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' --><!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' --><!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' --><!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' --></div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->

<figcaption>DocuSign
Your document has been completed to review and sign.
SCAN THE BARCODE TO REVIEW DOCUMENT
Cornell
NetID@cornell.edu
All parties have been completed.
Download the attachment above to review and electronically sign the pending document.
When DocuSign is applied, there is no requirement for a paper copy to be produced.
Thank You,
Cornell
Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.
About DocuSign
Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go - or even across the globe - DocuSign provides a professional trusted solution for Digital Transaction Management™.
Questions about the Document?
If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.
Stop receiving this email
Report this email or read more about Declining to sign and Managing notifications.
If you are having trouble signing the document, please visit the Help with Signing page on our Support Center.
Download the DocuSign App
This message was sent to you by CAN CLASS who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.</figcaption><!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' --></figure><p>&nbsp;</p>
"
4,Grant Service!,"Tue, 01/09/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell email address. The name and department used may vary. Do not contact the sender. Do not reply to email or the Outlook email address contained within messge. This is not a legitimate grant offer.&nbsp;</div>

<p>You have been approved for this month's Humanitarian student grant payout. For<br>
claims, send thefollowing details below preferably with your primary email address which could be Gmail, Hotmail, Yahoo, or AOL</p>

<p>Name -<br>
Address-<br>
Tel -<br>
Secondary Email ID -</p>

<p>To grant Co-Ordinator,<br>
Name- Collin Weir<br>
Contact email - <user><br>
We are eagerly waiting to hear back from you. Could you get back to us as soon as possible?</user></p>

<p>Note: Kindly ensure you contact me by email only (&nbsp;<user><br>
) and Ado not directly reply to this email as a response not sent directly to me on the above email will not be acknowledged.</user></p>

<p>Regards</p>

<p>STUDENT GRANT BOARD.</p>

<p>Solace Anderson</p>

<p>Grant MGT Director</p>
"
5,Complete: Please review and sign your document ! Cornell,"Mon, 01/08/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Name] &lt;[user]@michellesorrensen.com&gt;"". The link within directs to a fake Microsoft-branded login page. Do not follow the link nor contact the sender. If you entered your credentials into the page, change your NetID password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.&nbsp;</div>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure><!-- THEME DEBUG --><!-- THEME HOOK: 'entity_embed_container' --><!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' --><div data-entity-type=""media"" data-entity-uuid=""da500db2-738c-4b96-bbbc-87f79d3ada84"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-docusign-2024.1.8.jpg"" width=""1744"" height=""1752"" alt=""A fake DocuSign-branded notification with the heading &quot;You have received a document to review and sign&quot;.""><!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' --><!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' --><!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' --><!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' --></div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->

<figcaption>DocuSign
You have received a document to review and sign
VIEW DOCUMENT
Please complete with your electronic signature by following the link above.
Thank You!
Powered by DocuSign
Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.
Alternate Signing Method
Visit DocuSign.com, click 'Access Documents', and enter the security code: 94CC2891F02B4D22982345B8DE41BFC33
Download the DocuSign App
This message was sent to you by [Name] who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.</figcaption><!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' --></figure>"
6,Grant Service!,"Mon, 01/08/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">The message below is an example of a phishing email. If you receive a similar email, do not reply to the sender or click any links.</div>

<p>You have been approved for this month's Humanitarian student grant payout. For</p>

<p>claims, send the</p>

<p>following details below preferably with your primary email address which could be Gmail, Hotmail, Yahoo, or AOL</p>

<p></p>

<p>Name -</p>

<p>Address-</p>

<p>Tel -</p>

<p>Secondary Email ID -</p>

<p></p>

<p>To grant Co-Ordinator,</p>

<p>Name- [Name]</p>

<p>Contact email - [Email]</p>

<p>We are eagerly waiting to hear back from you. Could you get back to us as soon as possible?</p>

<p></p>

<p>Note: Kindly ensure you contact me by email only ( [email]</p>

<p>) and Ado not directly reply to this email as a response not sent directly to me on the above email will not be acknowledged.</p>

<p></p>

<p>Regards</p>

<p>STUDENT GRANT BOARD.</p>

<p>[Name]</p>

<p>Grant MGT Director</p>
"
7,STUDENT REMOTE RESEARCH ASSISTANT POSITION,"Sun, 01/07/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""CORNELL COLLEGE &lt;[user]@optimum.net&gt;"" or ""[user]@optonline.net &lt;[user]@optonline.net&gt;"". The email address within the email body is not a valid Cornell email and contains a link to a generic Gmail address when clicked. Do not reply to the sender nor contact the Gmail address in the message body. This is not a valid job offer. See <a href=""https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams"">Beware of Job and Internship Scams</a> from Career Services.</div>

<h3>First Example Message</h3>

<p>FROM THE OFFICE OF JOB PLACEMENT AND STUDENT SERVICES- CORNELL UNIVERSITY</p>

<p>In reference to the above subject</p>

<p>The university will be hiring undergraduate students this week as interns for a remote position. The aim of this position is to help struggling students cover expenses incurred here on campus. Tasks can be carried out at leisure, taking at most 1 hour per day,7 hours a week with a weekly pay of $350 as compensation for services rendered.</p>

<p>It is Flexible opportunity where you will determine your working time. Since this is a “Remote” Position, tasks can be carried out from home or on campus. We are currently working on a Research that would require the services of students (Graduate/Undergraduate) of any Department of the institution to Obtain a Remote Position in this Research. Interested students, Kindly contact Professor [Spoofed Name] via email at [user]@gmail.com stating your full name, email, department and year of study regarding the job description and further application requirements.</p>

<p>Please Note: Slots are Limited and Consideration will be given on a first come first serve basis</p>

<p>[Spoofed Name],<br>
The Student Services Recruitment,<br>
Specialist,<br>
Cornell University.</p>

<h3>Second Example Message</h3>

<p>FROM THE OFFICE OF JOB PLACEMENT AND STUDENT SERVICE – CORNELL COLLEGE</p>

<p><br>
In reference to the above subject</p>

<p><br>
CORNELL COLLEGE. Will be hiring undergraduate students this week as interns for a remote position. The aim of this position is to help struggling students cover expenses incurred here on campus. Tasks can be carried out at leisure, taking at most 1 hour per day, 7 hours a week with a weekly pay of $450 as compensation for services rendered.</p>

<p><br>
It is a Flexible Opportunity where you will determine your working time. Since this is a ""Remote"" Position, tasks can be carried out from home or on campus. We are currently working on a Research that would require the services of Students (Graduate/Undergraduate) of any Department of the Institution to Obtain a Remote Position in this Research. Interested students, Kindly contact Professor [Spoofed Name] via email at [user]@cornell.edu{links to [user]@gmail.com} stating your full name, email, department and year of study regarding the job description and further application requirements.</p>

<p>Please Note: Slots are Limited and Consideration will be given on a first come first serve basis.</p>

<p><br>
Prof [Spoofed Name],</p>

<p>The Student Services Recruitment Specialist,</p>

<p>Cornell College.</p>

<p></p>
"
8,REMOTE INTERNSHIP PROGRAM,"Sat, 01/06/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"". Do not reply to the sender nor contact the Gmail address in the message body. This is not a valid offer for employment. See <a href=""https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams""><strong>Beware of Job and Internship Scams</strong></a> from Career Services.</div>

<p>&nbsp;</p>

<p>Happy New Year, Dear Esteemed Students of Cornell University,</p>

<p>We are thrilled to inform you about the latest internship openings offered by the Office of Job Placement and Student Services. Our aim is to extend financial support to students facing economic challenges, all while providing them with invaluable research exposure. These internships are accessible for remote work, with a maximum commitment of seven hours per week and adaptable schedules that can be managed from your residence or on-campus. Selected students will receive a compensation of $350 per week.</p>

<p>This remote internship opportunity is open to students from all departments within the institution, and the tasks can be carried out remotely. However, it's important to note that the number of available positions is limited, and selection will be done on a first-come, first-served basis. If you are keen on this opportunity, kindly reach out to Dr. [Spoofed Name] via email at [user]@gmail.com. When requesting more details about the job requirements and application process, please include your full name, alternate email address, department, and current year of study.</p>

<p>We strongly advise submitting your application promptly, as the available slots are limited. We eagerly anticipate your response and extend our best wishes for success in your academic pursuits.</p>

<p>Warm regards,<br>
The Office of Job Placement and Student Services,<br>
Cornell University.</p>
"
9,Proposal for Research Assistant Position at Shaping,"Sat, 01/06/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"". Do not reply nor contact the email address or phone number within the message body. This is not a legitimate offer for employment. See <a href=""https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams""><strong>Beware of Job and Internship Scams</strong></a> from Career Services.</div>

<p>Dear Potential Interns,</p>

<p>As we embark on a new year brimming with possibilities, I extend a warm invitation to be part of the innovative research team at Cornell University, led by the esteemed Professor [Spoofed Name]. Let’s ignite the year with curiosity and dedication towards transformative discoveries.</p>

<p>Position: Research Assistant</p>

<p>Your Role in Shaping Discoveries:<br>
• Proficiently navigate diverse research tools and software.<br>
• Exemplify meticulous attention to detail and organizational finesse.<br>
• Embrace collaboration within our close-knit team environment.<br>
• Master time management, ensuring timely project completion.<br>
• Engage directly with Professor [Spoofed Name] in groundbreaking research pursuits.</p>

<p>Requirements:<br>
• Enrollment at Cornell University.<br>
• Access to a reliable computer and stable internet.</p>

<p>Rewards for Your Dedication:<br>
• Earn a weekly stipend of $350 for approximately 6 hours of impactful work.<br>
• Flexibility tailored to your schedule and access to essential resources for research endeavors.</p>

<p>To Embrace this Promising New Year’s Opportunity, Connect with Professor [Spoofed Name] at [user]@gmail.com or via text (###) ###-####. When reaching out, kindly share your alternate email, full name, academic standing, and department. Let’s embark on this journey together, illuminating the year with pioneering discoveries!</p>

<p>&nbsp;</p>
"
